ref	Manufacturer #	Digikey #
C101	C2012X7R1H104K085AA	445-7534-1-ND
C102	C2012X7R1H104K085AA	445-7534-1-ND
C103	500R15N180JV4T	709-1171-1-ND
C104	C2012X7R2E103K125AA	445-2280-1-ND
C105	C2012X7R2E103K125AA	445-2280-1-ND
C106	500R15N180JV4T	709-1171-1-ND
C201	C2012X7R1C105K125AA	445-1358-1-ND
C202	C2012X7R1C105K125AA	445-1358-1-ND
C301	C2012X5R0J475K125AA	445-1421-1-ND
C302	C2012X7R1H104K085AA	445-7534-1-ND
C305	C2012X7R1H104K085AA	445-7534-1-ND
C306	C2012X7R1H104K085AA	445-7534-1-ND
C307	C2012X7R1H104K085AA	445-7534-1-ND
D101	LH R974-LP-1	475-1415-1-ND
D102	LH R974-LP-1	475-1415-1-ND
D103	LH R974-LP-1	475-1415-1-ND
D201	LH R974-LP-1	475-1415-1-ND
D202	LH R974-LP-1	475-1415-1-ND
D203	LH R974-LP-1	475-1415-1-ND
D204	LH R974-LP-1	475-1415-1-ND
FB301	MH2029-070Y	MH2029-070YCT-ND
FB302	MH2029-070Y	MH2029-070YCT-ND
FB303	MH2029-070Y	MH2029-070YCT-ND
K301	OSTTA030161	ED2562-ND
K302	OSTTA030161	ED2562-ND
P101	SBH11-PBPC-D05-ST-BK	S9169-ND
P102	5001	5001K-ND
P103	5001	5001K-ND
P104	5001	5001K-ND
P105	SBH11-PBPC-D05-ST-BK	S9169-ND
P106	SBH11-PBPC-D05-ST-BK	S9169-ND
P201	39299242	WM7334-ND
P202	5001	5001K-ND
P203	5001	5001K-ND
P301	5001	5001K-ND
P302	5001	5001K-ND
P303	5001	5001K-ND
P304	5001	5001K-ND
P305	5001	5001K-ND
P306	5001	5001K-ND
P307	1-1634612-0	A97555-ND
P401	SBH11-PBPC-D08-ST-BK	S9171-ND
R101	ERJ-6ENF1501V	P1.50KCCT-ND
R102	ERJ-6ENF1501V	P1.50KCCT-ND
R103	ERJ-6ENF1501V	P1.50KCCT-ND
R104	ERJ-6ENF1002V	P10.0KCCT-ND
R201	ERJ-6GEY0R00V	P0.0ACT-ND
R202	ERJ-6ENF1501V	P1.50KCCT-ND
R203	ERJ-6ENF1501V	P1.50KCCT-ND
R204	ERJ-6ENF1501V	P1.50KCCT-ND
R205	ERJ-6ENF1501V	P1.50KCCT-ND
R301	RMCF0805JT470R	RMCF0805JT470RCT-ND
R302	RMCF0805JT20K0	RMCF0805JT20K0CT-ND
R303	RMCF0805FT59K0	RMCF0805FT59K0CT-ND
R304	RMCF0805JT20K0	RMCF0805JT20K0CT-ND
R305	RMCF0805FT59K0	RMCF0805FT59K0CT-ND
R306	ERJ-6ENF1002V	P10.0KCCT-ND
R307	ERJ-6ENF1002V	P10.0KCCT-ND
R308	ERJ-6ENF1002V	P10.0KCCT-ND
R309	RMCF0805JT20K0	RMCF0805JT20K0CT-ND
R310	ERJ-6ENF1002V	P10.0KCCT-ND
R311	RMCF0805FT16K9	RMCF0805FT16K9CT-ND
R312	RMCF0402JT100K	RMCF0402JT100KCT-ND
R313	ERJ-6ENF1002V	P10.0KCCT-ND
R314	ERJ-6ENF1002V	P10.0KCCT-ND
R401	RMCF0603JT5K10	RMCF0603JT5K10CT-ND
R402	RMCF0603JT5K10	RMCF0603JT5K10CT-ND
R403	ERJ-6ENF1002V	P10.0KCCT-ND
R404	ERJ-6ENF1002V	P10.0KCCT-ND
R405	ERJ-6ENF1002V	P10.0KCCT-ND
R406	ERJ-6ENF1002V	P10.0KCCT-ND
R407	ERJ-6ENF1002V	P10.0KCCT-ND
R408	ERJ-6ENF1002V	P10.0KCCT-ND
R409	ERJ-6ENF1002V	P10.0KCCT-ND
U101	LPC1114FBD48/302	568-5150-ND
U201	74LVCE1G06SE-7	74LVCE1G06SE-7DICT-ND
U202	LD1117V33	497-1491-5-ND
U301	LM4128DMF-4.1/NOPB	LM4128DMF-4.1/NOPBCT-ND
U302	LM4040DYM3-4.1 TR	576-1048-1-ND
U303	LT6011CS8#PBF	LT6011CS8#PBF-ND
U304	AD5662ARJZ-1500RL7	AD5662ARJZ-1500RL7CT-ND
U305	LT6011CS8#PBF	LT6011CS8#PBF-ND
U306	LTC1865LCMS#PBF	LTC1865LCMS#PBF-ND
X101	ABLS-12.000MHZ-B4-T	535-10218-1-ND
